Institute Code,College,Course Code,Course,Status,Category,Cutoff Rank,Score
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,80510,61.6881259
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,78055,63.6910141
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,136539,11.2906846
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,74433,65.9622938
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,64063,71.6354089
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,66750,70.2813361
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,68446,69.3042857
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,68856,69.2172491
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,132632,16.3662375
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,121462,29.3464077
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,59637,73.6426530
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,77027,64.2666767
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,79823,62.4868401
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,62352,72.6119403
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,67703,69.6572694
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,70293,68.3823818
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,136069,11.6574699
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,85978,58.7124464
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,69027,69.0354573
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,54035,76.7693871
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,77226,64.2666767
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,48301,79.5863208
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,76557,64.4512569
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,63812,71.6671025
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,61377,73.2522683
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,72438,66.9527897
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,64496,71.4000828
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,52485,77.4241933
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,48581,79.5208170
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,54145,76.7693871
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,87291,58.0840122
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,50328,78.4065273
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,101207,47.3870980
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,36306,85.1488129
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,49474,78.8754662
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,49149,79.2648162
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,38766,83.8780770
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,36110,85.1537884
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,59896,73.6426530
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,90911,55.4490884
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,64668,71.3590844
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,37622,84.3950599
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,99586,49.2213366
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,34209,85.9227307
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,105314,44.4766130
1012,"Government College of Engineering,Yavatmal",101237210,Electronics and Telecommunication Engg,,,52999,77.0079706
